weight/imperial,weight/metric,height/imperial,height/metric,id,name,bred_for,breed_group,life_span,temperament,origin,reference_image_id,image/id,image/width,image/height,image/url,country_code,description,history
50 - 70,23 - 32,27 - 30,69 - 76,127,Greyhound,Coursing hares,Hound,10 - 13 years,"Affectionate, Athletic, Gentle, Intelligent, Quiet, Even Tempered",,ryNYMx94X,ryNYMx94X,1024,681,https://cdn2.thedogapi.com/images/ryNYMx94X.jpg,,,
12,5,9 - 11,23 - 28,128,Griffon Bruxellois,Hunt and kill vermin in stables,,10 – 15 years,"Self-important, Inquisitive, Alert, Companionable, Sensitive, Watchful",,ryoYGec4Q,ryoYGec4Q,645,380,https://cdn2.thedogapi.com/images/ryoYGec4Q.jpg,,,
40 - 60,18 - 27,18 - 22,46 - 56,129,Harrier,Hunting hares by trailing them,Hound,12 - 15 years,"Outgoing, Friendly, Cheerful, Sweet-Tempered, Tolerant, Active",,B1IcfgqE7,B1IcfgqE7,1920,1080,https://cdn2.thedogapi.com/images/B1IcfgqE7.jpg,,,
7 - 13,3 - 6,8.5 - 11.5,22 - 29,130,Havanese,Companionship,Toy,14 - 15 years,"Affectionate, Responsive, Playful, Companionable, Gentle, Intelligent",,rkXiGl9V7,rkXiGl9V7,800,507,https://cdn2.thedogapi.com/images/rkXiGl9V7.jpg,,,
35 - 70,16 - 32,24 - 27,61 - 69,134,Irish Setter,"Bird setting, retrieving",Sporting,10 - 11 years,"Affectionate, Energetic, Lively, Independent, Playful, Companionable",,S1osGeqVm,S1osGeqVm,818,522,https://cdn2.thedogapi.com/images/S1osGeqVm.jpg,,,
25 - 27,11 - 12,18,46,135,Irish Terrier,,Terrier,12 - 16 years,"Respectful, Lively, Intelligent, Dominant, Protective, Trainable",,By-hGecVX,By-hGecVX,800,626,https://cdn2.thedogapi.com/images/By-hGecVX.jpg,,,
105 - 180,48 - 82,30 - 35,76 - 89,137,Irish Wolfhound,"Coursing wolves, elk",Hound,6 - 8 years,"Sweet-Tempered, Loyal, Dignified, Patient, Thoughtful, Generous",,Hyd2zgcEX,Hyd2zgcEX,1000,630,https://cdn2.thedogapi.com/images/Hyd2zgcEX.jpg,,,
7 - 15,3 - 7,13 - 15,33 - 38,138,Italian Greyhound,Lapdog,Toy,12 - 15 years,"Mischievous, Affectionate, Agile, Athletic, Companionable, Intelligent",,SJAnzg9NX,SJAnzg9NX,640,377,https://cdn2.thedogapi.com/images/SJAnzg9NX.jpg,,,
4 - 9,2 - 4,8 - 11,20 - 28,140,Japanese Chin,Lapdog,Toy,12 - 14 years,"Alert, Loyal, Independent, Intelligent, Loving, Cat-like",,r1H6feqEm,r1H6feqEm,900,581,https://cdn2.thedogapi.com/images/r1H6feqEm.jpg,,,
15 - 19,7 - 9,12 - 15,30 - 38,141,Japanese Spitz,Companion,,10 – 16 years,"Affectionate, Obedient, Playful, Companionable, Intelligent, Proud",,HksaMxqNX,HksaMxqNX,600,351,https://cdn2.thedogapi.com/images/HksaMxqNX.jpg,,,
35 - 45,16 - 20,17 - 18,43 - 46,142,Keeshond,Barge watchdog,Non-Sporting,12 - 15 years,"Agile, Obedient, Playful, Quick, Sturdy, Bright",,S1GAGg9Vm,S1GAGg9Vm,1024,683,https://cdn2.thedogapi.com/images/S1GAGg9Vm.jpg,,,
80 - 100,36 - 45,25.5 - 27.5,65 - 70,144,Komondor,Sheep guardian,Working,10 - 12 years,"Steady, Fearless, Affectionate, Independent, Gentle, Calm",,Bko0fl547,Bko0fl547,1030,772,https://cdn2.thedogapi.com/images/Bko0fl547.jpg,,,
20 - 30,9 - 14,14 - 16,36 - 41,145,Kooikerhondje,"Luring ducks into traps - ""tolling""",Sporting,12 - 15 years,"Benevolent, Agile, Alert, Intelligent, Active, Territorial",,kOMy84GQE,kOMy84GQE,1080,1080,https://cdn2.thedogapi.com/images/kOMy84GQE.jpg,,,
70 - 115,32 - 52,26 - 30,66 - 76,147,Kuvasz,"Guardian, hunting large game",Working,8 - 10 years,"Clownish, Loyal, Patient, Independent, Intelligent, Protective",,BykZ7ecVX,BykZ7ecVX,960,768,https://cdn2.thedogapi.com/images/BykZ7ecVX.jpg,,,
55 - 80,25 - 36,21.5 - 24.5,55 - 62,149,Labrador Retriever,Water retrieving,Sporting,10 - 13 years,"Kind, Outgoing, Agile, Gentle, Intelligent, Trusting, Even Tempered",,B1uW7l5VX,B1uW7l5VX,992,667,https://cdn2.thedogapi.com/images/B1uW7l5VX.jpg,,,
24 - 35,11 - 16,16 - 19,41 - 48,151,Lagotto Romagnolo,Water retrieval dog in the marshes of Romagna,Sporting,14 - 16 years,"Keen, Loyal, Companionable, Loving, Active, Trainable",,ryzzmgqE7,ryzzmgqE7,1600,1200,https://cdn2.thedogapi.com/images/ryzzmgqE7.jpg,,,
6 - 13,3 - 6,10 - 12,25 - 30,153,Lancashire Heeler,"Cattle herding, Ratting, Driving cattle to market.",,12 – 15 years,"Clever, Friendly, Alert, Intelligent",,S1RGml5Em,S1RGml5Em,680,453,https://cdn2.thedogapi.com/images/S1RGml5Em.jpg,,,
120 - 170,54 - 77,25.5 - 31.5,65 - 80,155,Leonberger,"Guardian, appearance.",Working,6 - 8 years,"Obedient, Fearless, Loyal, Companionable, Adaptable, Loving",,ByrmQlqVm,ByrmQlqVm,1024,694,https://cdn2.thedogapi.com/images/ByrmQlqVm.jpg,,,
12 - 18,5 - 8,10 - 11,25 - 28,156,Lhasa Apso,"Guarding inside the home, companion",Non-Sporting,12 - 15 years,"Steady, Fearless, Friendly, Devoted, Assertive, Spirited, Energetic, Lively, Alert, Obedient, Playful, Intelligent",,SJp7Qe5EX,SJp7Qe5EX,680,444,https://cdn2.thedogapi.com/images/SJp7Qe5EX.jpg,,,
4 - 7,2 - 3,8 - 10,20 - 25,161,Maltese,Lapdog,Toy,15 - 18 years,"Playful, Docile, Fearless, Affectionate, Sweet-Tempered, Lively, Responsive, Easygoing, Gentle, Intelligent, Active",,B1SV7gqN7,B1SV7gqN7,680,453,https://cdn2.thedogapi.com/images/B1SV7gqN7.jpg,,,
20 - 40,9 - 18,13 - 18,33 - 46,165,Miniature American Shepherd,,Herding,12 - 15 years,"Energetic, Loyal, Intelligent, Trainable",,BkHHQgcN7,BkHHQgcN7,920,640,https://cdn2.thedogapi.com/images/BkHHQgcN7.jpg,,,
8 - 11,4 - 5,10 - 12.5,25 - 32,167,Miniature Pinscher,Small vermin hunting,Toy,15 years,"Clever, Outgoing, Friendly, Energetic, Responsive, Playful",,Hy3H7g94X,Hy3H7g94X,1500,1125,https://cdn2.thedogapi.com/images/Hy3H7g94X.jpg,,,
11 - 20,5 - 9,12 - 14,30 - 36,168,Miniature Schnauzer,Ratting,Terrier,12 - 14 years,"Fearless, Friendly, Spirited, Alert, Obedient, Intelligent",,SJIUQl9NX,SJIUQl9NX,800,533,https://cdn2.thedogapi.com/images/SJIUQl9NX.jpg,,,
100 - 150,45 - 68,26 - 28,66 - 71,171,Newfoundland,"All purpose water dog, fishing aid",Working,8 - 10 years,"Sweet-Tempered, Gentle, Trainable",,Sk4DXl54m,Sk4DXl54m,1174,986,https://cdn2.thedogapi.com/images/Sk4DXl54m.jpg,,,
11 - 12,5 - 5,9 - 10,23 - 25,172,Norfolk Terrier,"Ratting, fox bolting",Terrier,12 - 15 years,"Self-confidence, Fearless, Spirited, Companionable, Happy, Lovable",,B1ADQg94X,B1ADQg94X,1468,1092,https://cdn2.thedogapi.com/images/B1ADQg94X.jpg,,,
11 - 12,5 - 5,10,25,176,Norwich Terrier,"Ratting, fox bolting",Terrier,12 - 15 years,"Hardy, Affectionate, Energetic, Sensitive, Intelligent",,BkgKXlqE7,BkgKXlqE7,1140,640,https://cdn2.thedogapi.com/images/BkgKXlqE7.jpg,,,
35 - 50,16 - 23,17 - 21,43 - 53,177,Nova Scotia Duck Tolling Retriever,,Sporting,12 - 14 years,"Outgoing, Alert, Patient, Intelligent, Loving",,SyYtQe5V7,SyYtQe5V7,630,420,https://cdn2.thedogapi.com/images/SyYtQe5V7.jpg,,,
60 - 100,27 - 45,21,53,178,Old English Sheepdog,"Driving sheep, cattle",Herding,10 - 12 years,"Sociable, Bubbly, Playful, Adaptable, Intelligent, Loving",,HkZ57lq4m,HkZ57lq4m,1334,889,https://cdn2.thedogapi.com/images/HkZ57lq4m.jpg,,,
65 – 85,NaN,15 - 19,38 - 48,179,Olde English Bulldogge,,,9 – 14 years,"Friendly, Alert, Confident, Loving, Courageous, Strong",,B1d5me547,B1d5me547,554,546,https://cdn2.thedogapi.com/images/B1d5me547.jpg,,,
3 - 12,1 - 5,8 - 11,20 - 28,181,Papillon,Lapdog,Toy,13 - 17 years,"Hardy, Friendly, Energetic, Alert, Intelligent, Happy",,SkJj7e547,SkJj7e547,960,765,https://cdn2.thedogapi.com/images/SkJj7e547.jpg,,,
14,6,6 - 9,15 - 23,183,Pekingese,Lapdog,Toy,14 - 18 years,"Opinionated, Good-natured, Stubborn, Affectionate, Aggressive, Intelligent",,ByIiml9Nm,ByIiml9Nm,960,640,https://cdn2.thedogapi.com/images/ByIiml9Nm.jpg,,,
25 - 30,11 - 14,10 - 12,25 - 30,184,Pembroke Welsh Corgi,Driving stock to market in northern Wales,Herding,12 - 14 years,"Tenacious, Outgoing, Friendly, Bold, Playful, Protective",,rJ6iQeqEm,rJ6iQeqEm,1280,720,https://cdn2.thedogapi.com/images/rJ6iQeqEm.jpg,,,
88 - 110,40 - 50,22 - 25.5,56 - 65,185,Perro de Presa Canario,,Working,10 - 12 years,"Strong Willed, Suspicious, Gentle, Dominant, Calm",,S1V3Qeq4X,S1V3Qeq4X,600,483,https://cdn2.thedogapi.com/images/S1V3Qeq4X.jpg,,,
40 - 60,18 - 27,21 - 25,53 - 64,188,Pharaoh Hound,Hunting rabbits,Hound,12 - 14 years,"Affectionate, Sociable, Playful, Intelligent, Active, Trainable",,Byz6mgqEQ,Byz6mgqEQ,3918,2938,https://cdn2.thedogapi.com/images/Byz6mgqEQ.jpg,,,
40 - 60,18 - 27,20 - 25,51 - 64,189,Plott,Hunting big-game like Boar.,Hound,12 - 14 years,"Bold, Alert, Loyal, Intelligent",,B1i67l5VQ,B1i67l5VQ,640,480,https://cdn2.thedogapi.com/images/B1i67l5VQ.jpg,,,
3 - 7,1 - 3,8 - 12,20 - 30,193,Pomeranian,Companion,Toy,15 years,"Extroverted, Friendly, Sociable, Playful, Intelligent, Active",,HJd0XecNX,HJd0XecNX,800,532,https://cdn2.thedogapi.com/images/HJd0XecNX.jpg,,,
15 - 17,7 - 8,11 - 15,28 - 38,196,Poodle (Miniature),,,12 – 15 years,,,Hkxk4ecVX,Hkxk4ecVX,1280,853,https://cdn2.thedogapi.com/images/Hkxk4ecVX.jpg,,,
6 - 9,3 - 4,9 - 11,23 - 28,197,Poodle (Toy),,,18 years,,,rJFJVxc4m,rJFJVxc4m,620,403,https://cdn2.thedogapi.com/images/rJFJVxc4m.jpg,,,
14 - 18,6 - 8,10 - 12,25 - 30,201,Pug,Lapdog,Toy,12 - 14 years,"Docile, Clever, Charming, Stubborn, Sociable, Playful, Quiet, Attentive",,HyJvcl9N7,HyJvcl9N7,800,600,https://cdn2.thedogapi.com/images/HyJvcl9N7.jpg,,,
25 - 35,11 - 16,16 - 17,41 - 43,204,Puli,Herding,Herding,12 - 16 Years years,"Energetic, Agile, Loyal, Obedient, Intelligent, Faithful",,ryPgVl5N7,ryPgVl5N7,1199,829,https://cdn2.thedogapi.com/images/ryPgVl5N7.jpg,,,
18 - 33,8 - 15,15 - 18.5,38 - 47,205,Pumi,,Herding,13 - 15 years,"Lively, Reserved, Intelligent, Active, Protective, Vocal",,SyRe4xcN7,SyRe4xcN7,695,391,https://cdn2.thedogapi.com/images/SyRe4xcN7.jpg,,,
8 - 25,4 - 11,10 - 13,25 - 33,207,Rat Terrier,,Terrier,12 - 18 years,"Affectionate, Lively, Inquisitive, Alert, Intelligent, Loving",,HkXWNl9E7,HkXWNl9E7,825,689,https://cdn2.thedogapi.com/images/HkXWNl9E7.jpg,,,
45 - 80,20 - 36,21 - 27,53 - 69,208,Redbone Coonhound,"Hunting raccoon, deer, bear, and cougar.",Hound,10 - 12 years,"Affectionate, Energetic, Independent, Companionable, Familial, Unflappable",,HJMzEl5N7,HJMzEl5N7,1537,1323,https://cdn2.thedogapi.com/images/HJMzEl5N7.jpg,,,
75 - 80,34 - 36,24 - 27,61 - 69,209,Rhodesian Ridgeback,"Big game hunting, guarding",Hound,10 - 12 years,"Strong Willed, Mischievous, Loyal, Dignified, Sensitive, Intelligent",,By9zNgqE7,By9zNgqE7,1000,667,https://cdn2.thedogapi.com/images/By9zNgqE7.jpg,,,
75 - 110,34 - 50,22 - 27,56 - 69,210,Rottweiler,"Cattle drover, guardian, draft",Working,8 - 10 years,"Steady, Good-natured, Fearless, Devoted, Alert, Obedient, Confident, Self-assured, Calm, Courageous",,r1xXEgcNX,r1xXEgcNX,736,595,https://cdn2.thedogapi.com/images/r1xXEgcNX.jpg,,,
3 - 6,1 - 3,7.5 - 10.5,19 - 27,211,Russian Toy,,Toy,10 - 12 years,,,HkP7Vxc4Q,HkP7Vxc4Q,645,380,https://cdn2.thedogapi.com/images/HkP7Vxc4Q.jpg,,,
130 - 180,59 - 82,25.5 - 27.5,65 - 70,212,Saint Bernard,"Draft, search, rescue",Working,7 - 10 years,"Friendly, Lively, Gentle, Watchful, Calm",,_Qf9nfRzL,_Qf9nfRzL,1080,1084,https://cdn2.thedogapi.com/images/_Qf9nfRzL.png,,,
35 - 65,16 - 29,23 - 28,58 - 71,213,Saluki,Coursing gazelle and hare,Hound,12 - 14 years,"Aloof, Reserved, Intelligent, Quiet",,fjFIuehNo,fjFIuehNo,750,450,https://cdn2.thedogapi.com/images/fjFIuehNo.jpg,,,
50 - 60,23 - 27,19 - 23.5,48 - 60,214,Samoyed,"Herding reindeer, guardian, draft",Working,12 - 14 years,"Stubborn, Friendly, Sociable, Lively, Alert, Playful",,S1T8Ee9Nm,S1T8Ee9Nm,1200,797,https://cdn2.thedogapi.com/images/S1T8Ee9Nm.jpg,,,
10 - 16,5 - 7,10 - 13,25 - 33,216,Schipperke,Barge watchdog,Non-Sporting,13 - 15 years,"Fearless, Agile, Curious, Independent, Confident, Faithful",,SyBvVgc47,SyBvVgc47,1024,681,https://cdn2.thedogapi.com/images/SyBvVgc47.jpg,,,
70 - 130,32 - 59,28 - 32,71 - 81,218,Scottish Deerhound,Coursing deer,Hound,8 - 10 years,"Docile, Friendly, Dignified, Gentle",,SkNjqx9NQ,SkNjqx9NQ,700,480,https://cdn2.thedogapi.com/images/SkNjqx9NQ.jpg,,,
18 - 22,8 - 10,10,25,219,Scottish Terrier,Vermin hunting,Terrier,11 - 13 years,"Feisty, Alert, Independent, Playful, Quick, Self-assured",,Bklnce5NX,Bklnce5NX,1280,976,https://cdn2.thedogapi.com/images/Bklnce5NX.jpg,,,
30,14,13 - 16,33 - 41,221,Shetland Sheepdog,Sheep herding,Herding,12 - 14 years,"Affectionate, Lively, Responsive, Alert, Loyal, Reserved, Playful, Gentle, Intelligent, Active, Trainable, Strong",,rJa29l9E7,rJa29l9E7,824,640,https://cdn2.thedogapi.com/images/rJa29l9E7.jpg,,,
17 - 23,8 - 10,13.5 - 16.5,34 - 42,222,Shiba Inu,"Hunting in the mountains of Japan, Alert Watchdog",Non-Sporting,12 - 16 years,"Charming, Fearless, Keen, Alert, Confident, Faithful",,Zn3IjPX3f,Zn3IjPX3f,1080,1080,https://cdn2.thedogapi.com/images/Zn3IjPX3f.jpg,,,
9 - 16,4 - 7,8 - 11,20 - 28,223,Shih Tzu,Lapdog,Toy,10 - 18 years,"Clever, Spunky, Outgoing, Friendly, Affectionate, Lively, Alert, Loyal, Independent, Playful, Gentle, Intelligent, Happy, Active, Courageous",,BkrJjgcV7,BkrJjgcV7,800,600,https://cdn2.thedogapi.com/images/BkrJjgcV7.jpg,,,
120 - 140,54 - 64,26 - 30,66 - 76,225,Shiloh Shepherd,"Swimming, Carrying backpacks, Pulling carts or sleds",,9 – 14 years,"Outgoing, Loyal, Companionable, Gentle, Loving, Trainable",,SJJxjecEX,SJJxjecEX,1005,803,https://cdn2.thedogapi.com/images/SJJxjecEX.jpg,,,
35 - 60,16 - 27,20 - 23.5,51 - 60,226,Siberian Husky,Sled pulling,Working,12 years,"Outgoing, Friendly, Alert, Gentle, Intelligent",,S17ZilqNm,S17ZilqNm,1920,1280,https://cdn2.thedogapi.com/images/S17ZilqNm.jpg,,,
8 - 10,4 - 5,9 - 10,23 - 25,228,Silky Terrier,"Small vermin hunting, companionship",Toy,12 - 15 years,"Friendly, Responsive, Inquisitive, Alert, Quick, Joyful",,ByzGsl5Nm,ByzGsl5Nm,1599,1142,https://cdn2.thedogapi.com/images/ByzGsl5Nm.jpg,,,
up - 18,NaN - 8,15.5,39,232,Smooth Fox Terrier,Fox bolting,Terrier,12 - 14 years,"Fearless, Affectionate, Alert, Playful, Intelligent, Active",,Syszjx9Em,Syszjx9Em,1600,1031,https://cdn2.thedogapi.com/images/Syszjx9Em.jpg,,,
30 - 40,14 - 18,16 - 18,41 - 46,233,Soft Coated Wheaten Terrier,"Vermin hunting, guarding, all-around farm helper",Terrier,12 - 15 years,"Affectionate, Spirited, Energetic, Playful, Intelligent, Faithful",,HJHmix5NQ,HJHmix5NQ,1200,800,https://cdn2.thedogapi.com/images/HJHmix5NQ.jpg,,,
30 - 50,14 - 23,16 - 20,41 - 51,235,Spanish Water Dog,Herding flocks of sheep and goats from one pasture to another,Sporting,12 - 15 years,"Trainable, Diligent, Affectionate, Loyal, Athletic, Intelligent",,HJf4jl9VX,HJf4jl9VX,1200,922,https://cdn2.thedogapi.com/images/HJf4jl9VX.jpg,,,
61 - 85,28 - 39,22.5 - 27.5,57 - 70,236,Spinone Italiano,,Sporting,10 - 12 years,"Docile, Friendly, Affectionate, Loyal, Patient, Gentle",,rk5Eoe5Nm,rk5Eoe5Nm,1030,772,https://cdn2.thedogapi.com/images/rk5Eoe5Nm.jpg,,,
24 - 38,11 - 17,14 - 16,36 - 41,238,Staffordshire Bull Terrier,,Terrier,12 - 14 years,"Reliable, Fearless, Bold, Affectionate, Loyal, Intelligent, Courageous",,H1zSie9V7,H1zSie9V7,1280,852,https://cdn2.thedogapi.com/images/H1zSie9V7.jpg,,,
30 - 50,14 - 23,17.5 - 19.5,44 - 50,239,Standard Schnauzer,"Ratting, guarding",Working,13 - 15 years,"Trainable, Good-natured, Devoted, Lively, Playful, Intelligent",,tmzeu6ID_,tmzeu6ID_,650,585,https://cdn2.thedogapi.com/images/tmzeu6ID_.jpg,,,
20 - 30,9 - 14,11.5 - 13.5,29 - 34,242,Swedish Vallhund,,Herding,12 - 14 years,"Fearless, Friendly, Energetic, Alert, Intelligent, Watchful",,HJ-Dix94Q,HJ-Dix94Q,1280,851,https://cdn2.thedogapi.com/images/HJ-Dix94Q.jpg,,,
35 - 55,16 - 25,20 - 24,51 - 61,243,Thai Ridgeback,,Hound,10 - 12 years,"Protective, Loyal, Independent, Intelligent, Loving, Familial",,zv89hR-O8,zv89hR-O8,1080,720,https://cdn2.thedogapi.com/images/zv89hR-O8.jpg,,,
85 - 140,39 - 64,24 - 26,61 - 66,244,Tibetan Mastiff,,Working,10 - 14 years,"Strong Willed, Tenacious, Aloof, Stubborn, Intelligent, Protective",,SkM9sec47,SkM9sec47,1600,1375,https://cdn2.thedogapi.com/images/SkM9sec47.jpg,,,
9 - 15,4 - 7,10,25,245,Tibetan Spaniel,,Non-Sporting,12 - 15 years,"Willful, Aloof, Assertive, Independent, Playful, Intelligent, Happy",,Hyjcol947,Hyjcol947,1023,825,https://cdn2.thedogapi.com/images/Hyjcol947.jpg,,,
20 - 24,9 - 11,14 - 17,36 - 43,246,Tibetan Terrier,"Good luck charms, mascots, watchdogs, herding dogs, and companions",Non-Sporting,12 - 15 years,"Affectionate, Energetic, Amiable, Reserved, Gentle, Sensitive",,6f5n_42mB,6f5n_42mB,981,1226,https://cdn2.thedogapi.com/images/6f5n_42mB.jpg,,,
4 - 9,2 - 4,8 - 11,20 - 28,248,Toy Fox Terrier,,Toy,12 - 15 years,"Friendly, Spirited, Alert, Loyal, Playful, Intelligent",,B17ase9V7,B17ase9V7,1200,1024,https://cdn2.thedogapi.com/images/B17ase9V7.jpg,,,
45 - 80,20 - 36,20 - 27,51 - 69,250,Treeing Walker Coonhound,,Hound,10 - 13 years,"Clever, Affectionate, Confident, Intelligent, Loving, Trainable",,SkRpsgc47,SkRpsgc47,1920,1080,https://cdn2.thedogapi.com/images/SkRpsgc47.jpg,,,
50 - 65,23 - 29,21 - 24,53 - 61,251,Vizsla,Pointing and trailing,Sporting,10 - 14 years,"Affectionate, Energetic, Loyal, Gentle, Quiet",,r1o0jx9Em,r1o0jx9Em,2269,1276,https://cdn2.thedogapi.com/images/r1o0jx9Em.jpg,,,
55 - 90,25 - 41,23 - 27,58 - 69,253,Weimaraner,Large game trailing and versatile gundog,Sporting,12 - 15 years,"Steady, Aloof, Stubborn, Energetic, Alert, Intelligent, Powerful, Fast",,SyU12l9V7,SyU12l9V7,901,954,https://cdn2.thedogapi.com/images/SyU12l9V7.jpg,,,
35 - 55,16 - 25,17 - 19,43 - 48,254,Welsh Springer Spaniel,Flushing and retrieving birds,Sporting,12 - 15 years,"Stubborn, Friendly, Affectionate, Loyal, Playful, Active",,BJ1gnx5Vm,BJ1gnx5Vm,1331,944,https://cdn2.thedogapi.com/images/BJ1gnx5Vm.jpg,,,
15 - 22,7 - 10,10 - 11,25 - 28,256,West Highland White Terrier,"Fox, badger, vermin hunting",Terrier,15 - 20 years,"Hardy, Friendly, Alert, Independent, Gay, Active, Courageous",,Bkdx2g5Em,Bkdx2g5Em,1065,1032,https://cdn2.thedogapi.com/images/Bkdx2g5Em.jpg,,,
25 - 35,11 - 16,18 - 22,46 - 56,257,Whippet,"Coursing, racing",Hound,12 - 15 years,"Friendly, Affectionate, Lively, Gentle, Intelligent, Quiet",,Hyv-ne94m,Hyv-ne94m,1600,1071,https://cdn2.thedogapi.com/images/Hyv-ne94m.jpg,,,
60 - 85,27 - 39,22 - 25,56 - 64,258,White Shepherd,,,12 – 14 years,"Self-confidence, Aloof, Fearless, Alert, Companionable, Eager",,r14M3e9E7,r14M3e9E7,1200,800,https://cdn2.thedogapi.com/images/r14M3e9E7.jpg,,,
15 - 19,7 - 9,13 - 16,33 - 41,259,Wire Fox Terrier,"Vermin hunting, fox bolting",,13 – 14 years,"Fearless, Friendly, Bold, Keen, Alert, Quick",,SJ6f2g9EQ,SJ6f2g9EQ,1000,795,https://cdn2.thedogapi.com/images/SJ6f2g9EQ.jpg,,, England
45 - 70,20 - 32,20 - 24,51 - 61,260,Wirehaired Pointing Griffon,"Gundog, ""swamp-tromping"", Flushing, pointing, and retrieving water fowl & game birds",Sporting,12 - 14 years,"Loyal, Gentle, Vigilant, Trainable, Proud",,Bkam2l9Vm,Bkam2l9Vm,2328,1604,https://cdn2.thedogapi.com/images/Bkam2l9Vm.jpg,,,
45 - 65,20 - 29,21.5 - 25,55 - 64,261,Wirehaired Vizsla,,Sporting,12 - 14 years,,,r1I4hl5Em,r1I4hl5Em,1024,770,https://cdn2.thedogapi.com/images/r1I4hl5Em.jpg,,,
9 - 31,4 - 14,10 - 23,25 - 58,262,Xoloitzcuintli,,Non-Sporting,12 - 14 years,"Cheerful, Alert, Companionable, Intelligent, Protective, Calm",,HkNS3gqEm,HkNS3gqEm,1500,1350,https://cdn2.thedogapi.com/images/HkNS3gqEm.jpg,,,
4 - 7,2 - 3,8 - 9,20 - 23,264,Yorkshire Terrier,Small vermin hunting,Toy,12 - 16 years,"Bold, Independent, Confident, Intelligent, Courageous",,B12BnxcVQ,B12BnxcVQ,1024,683,https://cdn2.thedogapi.com/images/B12BnxcVQ.jpg,,,
